Year,Town,"TANF cases, Rate (per 1000)","TANF cases, Number","Total estimated households, Number","Food stamps cases, Rate (per 1000)","Food stamps cases, Number","Total estimated households, Number"
2004,Cromwell,3.87,21,5428,17.32,94,5428
2004,Danbury,8.14,227,27873,47.72,1330,27873
2004,Darien,0.3,2,6634,2.41,16,6634
2004,Deep River,2.14,4,1870,16.57,31,1870
2004,Derby,16.02,85,5306,70.1,372,5306
2004,Durham,1.66,4,2410,7.88,19,2410
2004,East Granby,3.1,6,1934,13.96,27,1934
2004,East Haddam,3.89,13,3342,12.57,42,3342
2004,East Hampton,5.11,23,4500,18.22,82,4500
2004,East Hartford,26.09,527,20202,98.46,1989,20202
2004,East Haven,12.51,143,11434,54.05,618,11434
2004,East Lyme,3.15,21,6662,16.36,109,6662
2004,East Windsor,8.28,36,4347,35.2,153,4347
2004,Eastford,1.55,1,647,15.46,10,647
2004,Easton,0.4,1,2510,3.98,10,2510
2004,Ellington,2.67,15,5620,10.14,57,5620
2004,Enfield,9.66,160,16568,31.75,526,16568
2004,Essex,0.7,2,2853,11.57,33,2853
2004,Fairfield,2.35,48,20421,11.26,230,20421
2004,Farmington,2.73,27,9906,19.58,194,9906
2004,Franklin,5.68,4,704,18.47,13,704
2004,Glastonbury,1.82,23,12608,11.34,143,12608
2004,Goshen,2.69,3,1116,15.23,17,1116
2004,Granby,1.52,6,3946,10.14,40,3946
2004,Greenwich,2.07,48,23168,9.37,217,23168
2004,Griswold,11.66,51,4375,57.83,253,4375
2004,Groton,12.17,190,15607,41.39,646,15607
2004,Guilford,1.91,16,8377,12.06,101,8377
2004,Haddam,2.41,7,2908,12.04,35,2908
2004,Hamden,12.08,277,22936,43.86,1006,22936
2004,Hampton,4.27,3,703,22.75,16,703
2004,Hartford,88.99,4008,45041,390.93,17608,45041
2004,Hartland,1.35,1,740,6.76,5,740
2004,Harwinton,1.96,4,2043,7.34,15,2043
2004,Hebron,1.27,4,3155,6.66,21,3155
2004,Kent,2.53,3,1184,16.04,19,1184
2004,Killingly,21.18,138,6515,96.7,630,6515
2004,Killingworth,2.6,6,2307,6.93,16,2307
2004,Lebanon,3.17,8,2525,42.77,108,2525
2004,Ledyard,4.79,26,5425,17.33,94,5425
2004,Lisbon,3.17,5,1579,22.17,35,1579
2004,Litchfield,1.78,6,3370,13.95,47,3370
2004,Lyme,0,0,926,3.24,3,926
2004,Madison,1.05,7,6697,8.06,54,6697
2004,Manchester,16.01,381,23794,56.19,1337,23794
2004,Mansfield,4.44,24,5409,22,119,5409
2004,Marlborough,2.83,6,2120,11.32,24,2120
2004,Meriden,33.73,788,23361,114.03,2664,23361
2004,Middlebury,2.36,6,2538,9.85,25,2538
2004,Middlefield,2.38,4,1684,10.1,17,1684
2004,Middletown,15.62,298,19078,69.92,1334,19078
2004,Milford,5.56,118,21223,27.71,588,21223
2004,Monroe,1.97,13,6583,6.84,45,6583
2004,Montville,7.39,49,6632,30.31,201,6632
2004,Morris,1.07,1,930,9.67,9,930
2004,Naugatuck,12.47,150,12033,50.11,603,12033
2004,New Britain,48.45,1376,28398,178.32,5064,28398
2004,New Canaan,0.43,3,6897,4.06,28,6897
2004,New Fairfield,2.13,10,4704,7.23,34,4704
2004,New Hartford,2.51,6,2390,10.46,25,2390
2004,New Haven,66.35,3172,47807,256.03,12240,47807
2004,New London,35.49,364,10258,146.82,1506,10258
2004,New Milford,3.9,40,10258,23.3,239,10258
2004,Newington,3.6,44,12228,21.1,258,12228
2004,Newtown,1.59,14,8779,8.54,75,8779
2004,Norfolk,2.88,2,694,11.53,8,694
2004,North Branford,4.95,26,5256,15.22,80,5256
2004,North Canaan,5.86,8,1366,22.7,31,1366
2004,North Haven,4.54,40,8812,16.11,142,8812
2004,North Stonington,2.6,5,1921,13.54,26,1921
2004,Norwalk,12.49,411,32913,46.36,1526,32913
2004,Norwich,23,361,15694,108.77,1707,15694
2004,Old Lyme,0.99,3,3044,7.56,23,3044
2004,Old Saybrook,3.33,14,4209,14.49,61,4209
2004,Orange,1.64,8,4893,8.58,42,4893
2004,Oxford,1.31,5,3807,10.24,39,3807
2004,Plainfield,14.04,78,5557,62.27,346,5557
2004,Plainville,6.97,52,7463,37.52,280,7463
2004,Plymouth,10.23,47,4593,36.36,167,4593
2004,Pomfret,2.01,3,1493,17.42,26,1493
2004,Portland,5.9,21,3562,26.67,95,3562
2004,Preston,7.03,13,1850,27.03,50,1850
2004,Prospect,3.17,10,3155,9.51,30,3155
2004,Putnam,17.42,66,3790,81.27,308,3790
2004,Redding,0.64,2,3139,3.19,10,3139
2004,Ridgefield,0.47,4,8580,4.66,40,8580
2004,Rocky Hill,1.65,13,7857,14.38,113,7857
2004,Roxbury,0,0,883,4.53,4,883
2004,Salem,3.51,5,1425,12.63,18,1425
2004,Salisbury,2.91,5,1719,5.82,10,1719
2004,Scotland,5.11,3,587,10.23,6,587
2004,Seymour,7.24,46,6355,34.31,218,6355
2004,Sharon,2.4,3,1248,11.22,14,1248
2004,Shelton,3.89,57,14644,20.42,299,14644
2004,Sherman,2.12,3,1416,4.24,6,1416
2004,Simsbury,1.04,9,8627,6.61,57,8627
2004,Somers,2.92,9,3086,13.61,42,3086
2004,South Windsor,1.83,17,9310,9.67,90,9310
2004,Southbury,1.84,14,7620,6.04,46,7620
2004,Southington,4.94,78,15775,21.36,337,15775
2004,Sprague,12.49,14,1121,50.87,57,1121
2004,Stafford,9.29,42,4519,30.98,140,4519
2004,Stamford,7.41,342,46182,42.27,1952,46182
2004,Sterling,14.72,18,1223,42.53,52,1223
2004,Stonington,6.76,53,7845,31.23,245,7845
2004,Stratford,10.11,202,19977,35.04,700,19977
2004,Suffield,2.47,12,4858,10.91,53,4858
2004,Thomaston,6.01,18,2993,26.06,78,2993
2004,Thompson,8.94,32,3581,38.26,137,3581
2004,Tolland,2.46,12,4876,8,39,4876
2004,Torrington,12.45,186,14943,65.78,983,14943
2004,Trumbull,1.55,19,12237,11.52,141,12237
2004,Union,0,0,305,6.57,2,305
2004,Vernon,14.5,182,12552,49.24,618,12552
2004,Voluntown,7.2,7,972,38.07,37,972
2004,Wallingford,5.05,87,17231,22.63,390,17231
2004,Warren,3.71,2,539,3.71,2,539
2004,Washington,0,0,1454,8.25,12,1454
2004,Waterbury,47.61,2032,42678,189.96,8107,42678
2004,Waterford,3.88,30,7727,19.02,147,7727
2004,Watertown,5.06,42,8296,20.97,174,8296
2004,West Hartford,6.32,157,24849,39.24,975,24849
2004,West Haven,24.31,513,21099,93.37,1970,21099
2004,Westbrook,4.01,11,2742,30.27,83,2742
2004,Weston,0.9,3,3339,1.5,5,3339
2004,Westport,0.94,9,9581,6.16,59,9581
2004,Wethersfield,4.73,53,11210,29.26,328,11210
2004,Willington,3.78,9,2381,13.02,31,2381
2004,Wilton,0,0,6023,2.32,14,6023
2004,Winchester,14.95,68,4549,67.49,307,4549
2004,Windham,38.17,327,8568,159.44,1366,8568
2004,Windsor,12.36,134,10839,41.15,446,10839
2004,Windsor Locks,6.73,34,5050,30.49,154,5050
2004,Wolcott,5.31,30,5651,16.46,93,5651
2004,Woodbridge,2.19,7,3196,8.13,26,3196
2004,Woodbury,0.77,3,3915,6.64,26,3915
2004,Woodstock,2.75,8,2913,10.3,30,2913
2005,Andover,2.51,3,1197,8.35,10,1197
2005,Ansonia,26.1,196,7509,98.55,740,7509
2005,Ashford,4.86,8,1647,31.57,52,1647
2005,Avon,1.52,10,6601,5.76,38,6601
2005,Barkhamsted,3.59,5,1393,12.92,18,1393
2005,Beacon Falls,5.92,13,2196,20.95,46,2196
2005,Berlin,2.6,19,7300,16.44,120,7300
2005,Bethany,1.07,2,1863,7.51,14,1863
2005,Bethel,1.34,9,6722,18.15,122,6722
2005,Bethlehem,1.51,2,1329,15.05,20,1329
2005,Bloomfield,15.31,126,8228,58.58,482,8228
2005,Bolton,3.14,6,1911,12.56,24,1911
2005,Bozrah,6.35,6,945,48.68,46,945
2005,Branford,4.83,61,12641,30.22,382,12641
2005,Bridgeport,44.78,2274,50781,193.71,9837,50781
2005,Bridgewater,0,0,719,4.17,3,719
2005,Bristol,17.57,441,25103,70.63,1773,25103
2005,Brookfield,1.2,7,5851,9.06,53,5851
2005,Brooklyn,4.71,13,2760,22.1,61,2760
2005,Burlington,3.26,10,3066,9.46,29,3066
2005,Canaan,0,0,514,33.07,17,514
2005,Canterbury,5.48,10,1826,24.1,44,1826
2005,Canton,2.09,8,3833,12.52,48,3833
2005,Chaplin,10.12,9,889,31.5,28,889
2005,Cheshire,1.03,10,9695,9.49,92,9695
2005,Chester,3.1,5,1612,15.51,25,1612
2005,Clinton,3.45,18,5219,26.06,136,5219
2005,Colchester,4.85,27,5570,28.9,161,5570
2005,Colebrook,0,0,578,6.93,4,578
2005,Columbia,1.49,3,2009,15.43,31,2009
2005,Connecticut,16.42,21937,1336379,74.14,99081,1336379
2005,Cornwall,1.61,1,622,9.65,6,622
2005,Coventry,2.65,12,4522,21.89,99,4522
2005,Cromwell,2.92,16,5482,18.79,103,5482
2005,Danbury,8.2,230,28045,53.49,1500,28045
2005,Darien,0.3,2,6645,3.01,20,6645
2005,Deep River,2.66,5,1882,18.07,34,1882
2005,Derby,16.35,87,5320,74.06,394,5320
2005,Durham,0.41,1,2444,7.37,18,2444
2005,East Granby,3.07,6,1955,15.35,30,1955
2005,East Haddam,2.66,9,3384,14.19,48,3384
2005,East Hampton,3.27,15,4593,19.6,90,4593
2005,East Hartford,25.54,516,20201,112.42,2271,20201
2005,East Haven,13.14,151,11488,58.67,674,11488
2005,East Lyme,2.81,19,6750,16.15,109,6750
2005,East Windsor,7.7,34,4414,40.33,178,4414
2005,Eastford,1.53,1,654,16.82,11,654
2005,Easton,0.79,2,2521,3.97,10,2521
2005,Ellington,2.27,13,5726,15.54,89,5726
2005,Enfield,10.12,168,16606,38.72,643,16606
2005,Essex,0.7,2,2864,10.48,30,2864
2005,Fairfield,2.35,48,20427,12.09,247,20427
2005,Farmington,2.4,24,10009,20.98,210,10009
2005,Franklin,4.24,3,708,25.42,18,708
2005,Glastonbury,1.89,24,12696,13.47,171,12696
2005,Goshen,1.77,2,1129,16.83,19,1129
2005,Granby,1.25,5,3988,10.78,43,3988
2005,Greenwich,2.03,47,23153,10.71,248,23153
2005,Griswold,11.99,53,4420,61.76,273,4420
2005,Groton,13.3,208,15641,45.97,719,15641
2005,Guilford,2.02,17,8433,11.86,100,8433
2005,Haddam,3.04,9,2960,12.84,38,2960
2005,Hamden,11.83,273,23068,46.47,1072,23068
2005,Hampton,2.81,2,711,22.52,16,711
2005,Hartford,83.74,3773,45055,389.79,17562,45055
2005,Hartland,1.34,1,748,12.03,9,748
2005,Harwinton,2.42,5,2064,10.66,22,2064
2005,Hebron,0.94,3,3196,9.08,29,3196
2005,Kent,2.51,3,1195,20.93,25,1195
2005,Killingly,21.51,141,6554,102.99,675,6554
2005,Killingworth,3,7,2335,8.14,19,2335
2005,Lebanon,4.32,11,2545,43.22,110,2545
2005,Ledyard,4.4,24,5460,19.96,109,5460
2005,Lisbon,6.28,10,1592,25.75,41,1592
2005,Litchfield,2.66,9,3385,15.07,51,3385
2005,Lyme,1.06,1,944,5.3,5,944
2005,Madison,1.63,11,6743,9.79,66,6743
2005,Manchester,15.54,372,23943,65.41,1566,23943
2005,Mansfield,3.31,18,5439,22.8,124,5439
2005,Marlborough,1.86,4,2149,14.43,31,2149
2005,Meriden,31.5,739,23464,124.91,2931,23464
2005,Middlebury,1.55,4,2573,9.33,24,2573
2005,Middlefield,1.77,3,1694,11.81,20,1694
2005,Middletown,16.19,311,19209,76.27,1465,19209
2005,Milford,5.77,123,21304,29.99,639,21304
2005,Monroe,1.82,12,6608,7.57,50,6608
2005,Montville,8.83,59,6684,35.31,236,6684
2005,Morris,4.28,4,935,12.83,12,935
2005,Naugatuck,12.99,157,12084,56.77,686,12084
2005,New Britain,48.73,1382,28358,193.14,5477,28358
2005,New Canaan,0.58,4,6916,4.34,30,6916
2005,New Fairfield,1.69,8,4720,7.84,37,4720
2005,New Hartford,2.47,6,2430,11.93,29,2430
2005,New Haven,62.54,3001,47986,258.18,12389,47986
2005,New London,36.68,377,10277,158.51,1629,10277
2005,New Milford,4.17,43,10318,24.62,254,10318
2005,Newington,4.32,53,12282,23.77,292,12282
2005,Newtown,1.91,17,8892,9.22,82,8892
2005,Norfolk,5.73,4,698,14.33,10,698
2005,North Branford,3.59,19,5287,15.51,82,5287
2005,North Canaan,4.37,6,1372,26.25,36,1372
2005,North Haven,4.62,41,8866,18.84,167,8866
2005,North Stonington,3.6,7,1943,15.44,30,1943
2005,Norwalk,11.07,365,32964,45.78,1509,32964
2005,Norwich,23.29,369,15845,120.35,1907,15845
2005,Old Lyme,1.31,4,3065,8.48,26,3065
2005,Old Saybrook,3.56,15,4216,16.13,68,4216
2005,Orange,1.62,8,4931,9.53,47,4931
2005,Oxford,2.29,9,3924,10.45,41,3924
2005,Plainfield,13.61,76,5585,69.47,388,5585
2005,Plainville,6.82,51,7483,38.89,291,7483
2005,Plymouth,8.21,38,4628,42.57,197,4628
2005,Pomfret,2.65,4,1508,20.56,31,1508
2005,Portland,6.66,24,3605,32.73,118,3605
2005,Preston,5.4,10,1853,28.06,52,1853
2005,Prospect,2.82,9,3189,12.23,39,3189
2005,Putnam,17.03,65,3817,85.42,326,3817
2005,Redding,0.63,2,3194,2.19,7,3194
2005,Ridgefield,0.35,3,8617,4.87,42,8617
2005,Rocky Hill,1.77,14,7932,15.13,120,7932
2005,Roxbury,0,0,892,3.36,3,892
2005,Salem,3.47,5,1442,14.57,21,1442
2005,Salisbury,3.5,6,1715,8.16,14,1715
2005,Scotland,6.72,4,595,11.76,7,595
2005,Seymour,6.56,42,6405,34.19,219,6405
2005,Sharon,2.4,3,1248,44.07,55,1248
2005,Shelton,4.27,63,14758,21.55,318,14758
2005,Sherman,2.13,3,1411,4.96,7,1411
2005,Simsbury,1.5,13,8652,7.28,63,8652
2005,Somers,3.84,12,3127,15.67,49,3127
2005,South Windsor,2.02,19,9412,12.75,120,9412
2005,Southbury,1.55,12,7719,6.74,52,7719
2005,Southington,4.51,72,15949,24.14,385,15949
2005,Sprague,13.36,15,1123,57.88,65,1123
2005,Stafford,9.43,43,4560,35.53,162,4560
2005,Stamford,7.37,342,46378,47.18,2188,46378
2005,Sterling,8.8,11,1250,38.42,48,1250
2005,Stonington,6.72,53,7890,34.22,270,7890
2005,Stratford,9.6,192,19997,38.66,773,19997
2005,Suffield,1.83,9,4908,12.23,60,4908
2005,Thomaston,4.65,14,3012,27.89,84,3012
2005,Thompson,8.6,31,3606,42.15,152,3606
2005,Tolland,1.82,9,4949,9.29,46,4949
2005,Torrington,12.34,185,14993,74.03,1110,14993
2005,Trumbull,2.19,27,12318,12.18,150,12318
2005,Union,0,0,310,6.46,2,310
2005,Vernon,13.31,168,12623,55.46,700,12623
2005,Voluntown,7.16,7,977,37.87,37,977
2005,Wallingford,4.49,78,17365,24.07,418,17365
2005,Warren,1.82,1,549,3.64,2,549
2005,Washington,2.05,3,1464,10.25,15,1464
2005,Waterbury,46.4,1981,42692,199.2,8504,42692
2005,Waterford,4.76,37,7774,21.48,167,7774
2005,Watertown,5.02,42,8359,23.45,196,8359
2005,West Hartford,6.34,158,24917,41.58,1036,24917
2005,West Haven,23.03,486,21101,98.43,2077,21101
2005,Westbrook,3.6,10,2777,26.65,74,2777
2005,Weston,0.3,1,3346,1.2,4,3346
2005,Westport,0.84,8,9580,6.58,63,9580
2005,Wethersfield,4.64,52,11209,31.76,356,11209
2005,Willington,5.03,12,2388,17.59,42,2388
2005,Wilton,0,0,6048,1.98,12,6048
2005,Winchester,13.06,60,4593,65.97,303,4593
2005,Windham,34.9,301,8624,180.43,1556,8624
2005,Windsor,11.46,125,10905,43.37,473,10905
2005,Windsor Locks,5.91,30,5079,31.31,159,5079
2005,Wolcott,5.6,32,5711,20.84,119,5711
2005,Woodbridge,1.55,5,3220,9.94,32,3220
2005,Woodbury,0.76,3,3965,8.07,32,3965
2005,Woodstock,2.37,7,2953,11.52,34,2953
2006,Andover,2.49,3,1206,12.43,15,1206
2006,Ansonia,23.57,177,7509,101.48,762,7509
2006,Ashford,5.42,9,1661,25.29,42,1661
2006,Avon,1.35,9,6682,6.44,43,6682
2006,Barkhamsted,2.85,4,1405,11.39,16,1405
2006,Beacon Falls,4.49,10,2229,20.64,46,2229
2006,Berlin,2.16,16,7402,17.56,130,7402
2006,Bethany,1.06,2,1885,7.43,14,1885
2006,Bethel,1.63,11,6765,22.03,149,6765
2006,Bethlehem,2.97,4,1345,17.1,23,1345
2006,Bloomfield,12.9,107,8293,61.98,514,8293
2006,Bolton,2.62,5,1911,16.22,31,1911
2006,Bozrah,6.27,6,957,49.09,47,957
2006,Branford,4.19,53,12661,31.67,401,12661
2006,Bridgeport,40.9,2081,50876,193.63,9851,50876
2006,Bridgewater,0,0,722,5.54,4,722
2006,Bristol,17.14,431,25146,72.1,1813,25146
2006,Brookfield,1.35,8,5906,8.97,53,5906
2006,Brooklyn,4.28,12,2806,25.3,71,2806
2006,Burlington,1.93,6,3111,9.64,30,3111
2006,Canaan,1.89,1,528,28.42,15,528
2006,Canterbury,4.87,9,1847,27.07,50,1847
2006,Canton,1.54,6,3896,14.12,55,3896
2006,Chaplin,8.94,8,895,33.51,30,895
2006,Cheshire,1.33,13,9764,9.42,92,9764
2006,Chester,2.45,4,1632,13.48,22,1632
2006,Clinton,2.67,14,5235,26.55,139,5235
2006,Colchester,4.79,27,5639,31.57,178,5639
2006,Colebrook,0,0,580,6.9,4,580
2006,Columbia,2.45,5,2038,14.23,29,2038
2006,Connecticut,15.25,20492,1343320,76.94,103355,1343320
2006,Cornwall,1.61,1,623,8.03,5,623
2006,Coventry,2.84,13,4574,24.92,114,4574
2006,Cromwell,3.07,17,5536,18.06,100,5536
2006,Danbury,7.27,205,28217,55.71,1572,28217
2006,Darien,0.6,4,6656,3.61,24,6656
2006,Deep River,2.11,4,1894,23.24,44,1894
2006,Derby,15.37,82,5334,75.93,405,5334
2006,Durham,0.4,1,2477,7.27,18,2477
2006,East Granby,3.54,7,1976,13.66,27,1976
2006,East Haddam,2.63,9,3425,13.14,45,3425
2006,East Hampton,3.84,18,4686,21.55,101,4686
2006,East Hartford,26.58,537,20199,124.06,2506,20199
2006,East Haven,12.74,147,11541,60.65,700,11541
2006,East Lyme,3.22,22,6838,16.67,114,6838
2006,East Windsor,6.92,31,4481,41.73,187,4481
2006,Eastford,1.51,1,661,22.69,15,661
2006,Easton,0.39,1,2532,3.16,8,2532
2006,Ellington,2.91,17,5832,15.43,90,5832
2006,Enfield,8.53,142,16644,41.04,683,16644
2006,Essex,1.04,3,2874,10.44,30,2874
2006,Fairfield,2.1,43,20433,13.07,267,20433
2006,Farmington,2.37,24,10112,22.85,231,10112
2006,Franklin,2.81,2,712,26.68,19,712
2006,Glastonbury,1.8,23,12784,15.57,199,12784
2006,Goshen,0.88,1,1142,17.52,20,1142
2006,Granby,1.24,5,4029,10.67,43,4029
2006,Greenwich,1.73,40,23138,11.89,275,23138
2006,Griswold,13.21,59,4465,64.5,288,4465
2006,Groton,11.29,177,15675,49.95,783,15675
2006,Guilford,2,17,8489,12.72,108,8489
2006,Haddam,2.99,9,3011,12.62,38,3011
2006,Hamden,11.12,258,23199,49.92,1158,23199
2006,Hampton,1.39,1,718,29.26,21,718
2006,Hartford,76.33,3440,45069,391.71,17654,45069
2006,Hartland,2.64,2,756,11.9,9,756
2006,Harwinton,2.88,6,2085,11.99,25,2085
2006,Hebron,0.93,3,3236,10.2,33,3236
2006,Kent,1.66,2,1205,21.58,26,1205
2006,Killingly,17.44,115,6593,108.9,718,6593
2006,Killingworth,3.39,8,2363,8.04,19,2363
2006,Lebanon,5.07,13,2565,47.96,123,2565
2006,Ledyard,5.28,29,5495,20.75,114,5495
2006,Lisbon,5.61,9,1605,26.16,42,1605
2006,Litchfield,2.65,9,3399,15.89,54,3399
2006,Lyme,1.04,1,961,3.12,3,961
2006,Madison,0.88,6,6789,10.61,72,6789
2006,Manchester,14.69,354,24092,71.52,1723,24092
2006,Mansfield,3.47,19,5468,24.51,134,5468
2006,Marlborough,1.38,3,2177,13.32,29,2177
2006,Meriden,29.41,693,23567,131.75,3105,23567
2006,Middlebury,1.53,4,2608,11.5,30,2608
2006,Middlefield,2.94,5,1703,14.09,24,1703
2006,Middletown,14.84,287,19339,79.94,1546,19339
2006,Milford,5.33,114,21385,31.75,679,21385
2006,Monroe,1.96,13,6633,7.54,50,6633
2006,Montville,8.61,58,6736,39.79,268,6736
2006,Morris,4.26,4,940,20.22,19,940
2006,Naugatuck,11.12,135,12135,60.57,735,12135
2006,New Britain,45.2,1280,28318,202.73,5741,28318
2006,New Canaan,0.29,2,6935,4.76,33,6935
2006,New Fairfield,2.32,11,4736,10.13,48,4736
2006,New Hartford,2.43,6,2470,12.95,32,2470
2006,New Haven,57.16,2753,48164,265.34,12780,48164
2006,New London,36.62,377,10296,175.79,1810,10296
2006,New Milford,3.95,41,10378,25.73,267,10378
2006,Newington,3.73,46,12336,24,296,12336
2006,Newtown,1.89,17,9005,10.11,91,9005
2006,Norfolk,7.12,5,702,19.93,14,702
2006,North Branford,3.39,18,5317,15.04,80,5317
2006,North Canaan,5.81,8,1377,31.95,44,1377
2006,North Haven,4.48,40,8920,21.41,191,8920
2006,North Stonington,2.55,5,1964,15.27,30,1964
2006,Norwalk,9.51,314,33015,44.34,1464,33015
2006,Norwich,23.63,378,15996,131.1,2097,15996
2006,Old Lyme,0.97,3,3086,9.4,29,3086
2006,Old Saybrook,3.08,13,4222,16.11,68,4222
2006,Orange,1.21,6,4969,9.06,45,4969
2006,Oxford,1.98,8,4040,11.63,47,4040
2006,Plainfield,12.83,72,5613,74.65,419,5613
2006,Plainville,8.26,62,7502,41.59,312,7502
2006,Plymouth,8.79,41,4663,42.89,200,4663
2006,Pomfret,3.28,5,1522,24.96,38,1522
2006,Portland,7.13,26,3648,37,135,3648
2006,Preston,4.31,8,1856,34.48,64,1856
2006,Prospect,2.48,8,3222,13.97,45,3222
2006,Putnam,16.39,63,3843,95.75,368,3843
2006,Redding,0.62,2,3249,3.69,12,3249
2006,Ridgefield,0.46,4,8654,5.08,44,8654
2006,Rocky Hill,1.75,14,8007,15.49,124,8007
2006,Roxbury,0,0,901,1.11,1,901
2006,Salem,3.43,5,1458,15.77,23,1458
2006,Salisbury,2.34,4,1711,8.18,14,1711
2006,Scotland,4.97,3,603,14.92,9,603
2006,Seymour,5.42,35,6454,38.27,247,6454
2006,Sharon,1.6,2,1248,49.66,62,1248
2006,Shelton,4.03,60,14871,22.53,335,14871
2006,Sherman,2.13,3,1406,4.98,7,1406
2006,Simsbury,1.38,12,8676,8.07,70,8676
2006,Somers,3.47,11,3167,18,57,3167
2006,South Windsor,2.42,23,9513,14.4,137,9513
2006,Southbury,1.66,13,7818,7.55,59,7818
2006,Southington,4.59,74,16122,26.55,428,16122
2006,Sprague,15.99,18,1125,64.87,73,1125
2006,Stafford,8.91,41,4601,35.42,163,4601
2006,Stamford,6.81,317,46574,47.95,2233,46574
2006,Sterling,9.4,12,1276,43.88,56,1276
2006,Stonington,6.05,48,7935,34.03,270,7935
2006,Stratford,8.99,180,20016,39.37,788,20016
2006,Suffield,2.02,10,4957,13.31,66,4957
2006,Thomaston,4.62,14,3031,30.02,91,3031
2006,Thompson,9.09,33,3631,45.44,165,3631
2006,Tolland,1.39,7,5022,8.76,44,5022
2006,Torrington,12.23,184,15043,82.1,1235,15043
2006,Trumbull,1.85,23,12399,12.82,159,12399
2006,Union,0,0,314,15.9,5,314
2006,Vernon,13.24,168,12693,60.35,766,12693
2006,Voluntown,5.09,5,982,36.66,36,982
2006,Wallingford,4,70,17498,25.43,445,17498
2006,Warren,1.79,1,559,3.58,2,559
2006,Washington,4.75,7,1474,10.86,16,1474
2006,Waterbury,45.92,1961,42705,210.98,9010,42705
2006,Waterford,4.48,35,7820,23.53,184,7820
2006,Watertown,4.39,37,8422,23.99,202,8422
2006,West Hartford,5.4,135,24985,42.67,1066,24985
2006,West Haven,20.33,429,21103,103.11,2176,21103
2006,Westbrook,2.13,6,2811,27.75,78,2811
2006,Weston,0.3,1,3352,0.89,3,3352
2006,Westport,0.63,6,9578,6.16,59,9578
2006,Wethersfield,3.66,41,11208,33.73,378,11208
2006,Willington,3.76,9,2395,20.88,50,2395
2006,Wilton,0,0,6072,2.14,13,6072
2006,Winchester,10.57,49,4637,65.34,303,4637
2006,Windham,33.87,294,8680,205.98,1788,8680
2006,Windsor,9.66,106,10971,43.02,472,10971
2006,Windsor Locks,5.09,26,5108,32.11,164,5108
2006,Wolcott,4.85,28,5770,22.7,131,5770
2006,Woodbridge,1.54,5,3243,9.87,32,3243
2006,Woodbury,1.25,5,4014,8.47,34,4014
2006,Woodstock,2.01,6,2992,13.7,41,2992
2007,Andover,2.47,3,1216,9.05,11,1216
2007,Ansonia,21.97,165,7509,101.08,759,7509
2007,Ashford,4.18,7,1675,25.08,42,1675
2007,Avon,0.74,5,6764,5.62,38,6764
2007,Barkhamsted,2.82,4,1417,10.59,15,1417
2007,Beacon Falls,3.54,8,2262,22.99,52,2262
2007,Berlin,1.6,12,7503,17.33,130,7503
2007,Bethany,1.57,3,1906,5.25,10,1906
2007,Bethel,2.2,15,6808,22.18,151,6808
2007,Bethlehem,1.47,2,1362,14.69,20,1362
2007,Bloomfield,11.37,95,8358,55.87,467,8358
2007,Bolton,4.18,8,1912,10.98,21,1912
2007,Bozrah,2.06,2,970,47.43,46,970
2007,Branford,3.86,49,12680,29.97,380,12680
2007,Bridgeport,38.16,1945,50971,199.31,10159,50971
2007,Bridgewater,0,0,725,5.51,4,725
2007,Bristol,15.8,398,25190,72.65,1830,25190
2007,Brookfield,1.34,8,5962,9.06,54,5962
2007,Brooklyn,7.71,22,2852,62.07,177,2852
2007,Burlington,1.27,4,3156,8.87,28,3156
2007,Canaan,0,0,542,18.46,10,542
2007,Canterbury,8.03,15,1869,35.85,67,1869
2007,Canton,1.52,6,3960,13.89,55,3960
2007,Chaplin,6.66,6,901,38.83,35,901
2007,Cheshire,1.93,19,9833,11.19,110,9833
2007,Chester,2.42,4,1653,13.31,22,1653
2007,Clinton,2.67,14,5252,27.23,143,5252
2007,Colchester,4.38,25,5708,32.59,186,5708
2007,Colebrook,0,0,582,5.15,3,582
2007,Columbia,1.45,3,2067,16.45,34,2067
2007,Connecticut,14.16,19123,1350262,76.93,103870,1350262
2007,Cornwall,0,0,624,12.82,8,624
2007,Coventry,3.03,14,4626,23.56,109,4626
2007,Cromwell,3.58,20,5590,17.89,100,5590
2007,Danbury,7.12,202,28390,53.58,1521,28390
2007,Darien,0.45,3,6666,3.45,23,6666
2007,Deep River,1.05,2,1905,19.95,38,1905
2007,Derby,14.03,75,5347,67.89,363,5347
2007,Durham,0.4,1,2510,7.97,20,2510
2007,East Granby,1.5,3,1998,11.01,22,1998
2007,East Haddam,2.6,9,3467,13.56,47,3467
2007,East Hampton,2.51,12,4780,19.25,92,4780
2007,East Hartford,27.92,564,20198,131.5,2656,20198
2007,East Haven,11.82,137,11595,54.94,637,11595
2007,East Lyme,2.74,19,6927,17.47,121,6927
2007,East Windsor,7.26,33,4548,42.43,193,4548
2007,Eastford,1.5,1,668,22.44,15,668
2007,Easton,0,0,2543,3.93,10,2543
2007,Ellington,2.86,17,5938,15.49,92,5938
2007,Enfield,8.39,140,16681,42.2,704,16681
2007,Essex,1.04,3,2885,10.05,29,2885
2007,Fairfield,1.91,39,20439,12.53,256,20439
2007,Farmington,2.45,25,10214,21.34,218,10214
2007,Franklin,1.4,1,716,23.73,17,716
2007,Glastonbury,1.48,19,12872,16.47,212,12872
