Year,Town,"TANF cases, Rate (per 1000)","TANF cases, Number","Total estimated households, Number","Food stamps cases, Rate (per 1000)","Food stamps cases, Number","Total estimated households, Number"
1999,Stratford,14.57,290,19898,29.05,578,19898
1999,Suffield,4.08,19,4660,12.88,60,4660
1999,Thomaston,5.49,16,2916,17.15,50,2916
1999,Thompson,12.92,45,3482,34.18,119,3482
1999,Tolland,3.49,16,4586,5.67,26,4586
1999,Torrington,14.85,219,14743,44.22,652,14743
1999,Trumbull,3.27,39,11911,8.98,107,11911
1999,Union,3.51,1,285,10.53,3,285
1999,Vernon,20.13,247,12269,46.78,574,12269
1999,Voluntown,7.35,7,952,29.41,28,952
1999,Wallingford,9.34,156,16697,24.97,417,16697
1999,Warren,0,0,497,0,0,497
1999,Washington,4.24,6,1416,9.18,13,1416
1999,Waterbury,58.35,2487,42622,146.66,6251,42622
1999,Waterford,5.04,38,7542,14.98,113,7542
1999,Watertown,5.84,47,8046,16.65,134,8046
1999,West Hartford,9.81,241,24576,36.78,904,24576
1999,West Haven,42.01,886,21090,91.51,1930,21090
1999,Westbrook,6.14,16,2605,31.09,81,2605
1999,Weston,1.21,4,3312,2.72,9,3312
1999,Westport,1.67,16,9586,7.51,72,9586
1999,Wethersfield,6.78,76,11214,25.24,283,11214
1999,Willington,4.25,10,2353,11.47,27,2353
1999,Wilton,0.84,5,5923,1.35,8,5923
1999,Winchester,16.24,71,4371,52.62,230,4371
1999,Windham,50.35,420,8342,159.07,1327,8342
1999,Windsor,17.11,181,10577,34.51,365,10577
1999,Windsor Locks,10.33,51,4935,24.92,123,4935
1999,Wolcott,6.28,34,5414,14.59,79,5414
1999,Woodbridge,3.22,10,3103,9.02,28,3103
1999,Woodbury,1.35,5,3715,6.73,25,3715
1999,Woodstock,4.36,12,2754,11.62,32,2754
2000,Andover,3.48,4,1150,9.57,11,1150
2000,Ansonia,29.44,221,7507,79.13,594,7507
2000,Ashford,8.87,14,1578,17.74,28,1578
2000,Avon,0.65,4,6192,4.2,26,6192
2000,Barkhamsted,3,4,1334,5.25,7,1334
2000,Beacon Falls,5.91,12,2032,15.26,31,2032
2000,Berlin,3.24,22,6792,9.57,65,6792
2000,Bethany,2.28,4,1755,6.27,11,1755
2000,Bethel,4.15,27,6505,13.68,89,6505
2000,Bethlehem,3.21,4,1246,8.83,11,1246
2000,Bloomfield,20.37,161,7902,42.52,336,7902
2000,Bolton,3.67,7,1906,5.77,11,1906
2000,Bozrah,6.8,6,883,19.25,17,883
2000,Branford,6.22,78,12543,24.08,302,12543
2000,Bridgeport,61.34,3086,50307,164.83,8292,50307
2000,Bridgewater,0,0,703,2.84,2,703
2000,Bristol,17.24,429,24886,54.13,1347,24886
2000,Brookfield,1.97,11,5572,7.54,42,5572
2000,Brooklyn,6.32,16,2531,20.94,53,2531
2000,Burlington,1.76,5,2840,5.99,17,2840
2000,Canaan,4.49,2,445,15.73,7,445
2000,Canterbury,6.41,11,1717,23.3,40,1717
2000,Canton,1.42,5,3516,6.83,24,3516
2000,Chaplin,6.99,6,858,10.49,9,858
2000,Cheshire,1.39,13,9349,6.74,63,9349
2000,Chester,2.65,4,1510,13.91,21,1510
2000,Clinton,5.84,30,5134,21.62,111,5134
2000,Colchester,6.7,35,5225,24.11,126,5225
2000,Colebrook,0,0,566,3.53,2,566
2000,Columbia,1.61,3,1864,10.73,20,1864
2000,Connecticut,21.45,27924,1301670,62.29,81075,1301670
2000,Cornwall,1.63,1,615,8.13,5,615
2000,Coventry,5.16,22,4261,16.9,72,4261
2000,Cromwell,3.84,20,5212,13.62,71,5212
